rank,name,role,goals,pens,assist,minutes,matches
72,JI Yun Nam,DF,1,0,0,270,3
73,Robert KOREN,MF,1,0,0,270,3
74,Bongani KHUMALO,DF,1,0,0,270,3
75,Winston REID,DF,1,0,0,270,3
76,Katlego MPHELA,FW,1,0,0,270,3
77,Vincenzo IAQUINTA,FW,1,1,0,270,3
78,PARK Chuyoung,FW,1,0,0,347,4
79,Gabriel HEINZE,DF,1,0,0,360,4
80,Jean BEAUSEJOUR,FW,1,0,0,360,4
81,PARK Ji Sung,MF,1,0,0,360,4
82,Yasuhito ENDO,MF,1,0,0,389,4
83,Clint DEMPSEY,MF,1,0,0,390,4
84,Michael BRADLEY,MF,1,0,0,390,4
85,Antolin ALCARAZ,DF,1,0,0,390,4
86,Alvaro PEREIRA,MF,1,0,0,409,5
87,Enrique VERA,MF,1,0,0,414,5
88,Martin DEMICHELIS,DF,1,0,0,450,5
89,JUAN,DF,1,0,0,450,5
90,Kevin Prince BOATENG,FW,1,0,0,464,5
91,Cristian RIVEROS,MF,1,0,0,480,5
92,Sami KHEDIRA,MF,1,0,0,608,7
93,Arne FRIEDRICH,DF,1,0,0,630,7
94,Giovanni VAN BRONCKHORST,DF,1,0,0,645,7
95,Carles PUYOL,DF,1,0,0,654,7
96,Maximiliano PEREIRA,DF,1,0,0,660,7
1,Miroslav KLOSE,FW,5,0,1,587,7
2,Hernan CRESPO,FW,3,0,1,308,4
3,RONALDO,FW,3,0,1,411,5
4,Zinedine ZIDANE,MF,3,2,1,559,6
5,David VILLA,FW,3,2,0,244,4
6,Fernando TORRES,FW,3,1,0,290,4
7,Maxi RODRIGUEZ,MF,3,0,0,495,5
8,Lukas PODOLSKI,FW,3,0,0,636,7
9,Thierry HENRY,FW,3,0,0,636,7
10,Bastian SCHWEINSTEIGER,MF,2,0,3,529,7
11,Patrick VIEIRA,MF,2,0,2,587,7
12,Agustin DELGADO,FW,2,0,1,263,3
13,Andriy SHEVCHENKO,FW,2,1,1,474,5
14,Aruna DINDANE,FW,2,1,0,153,3
15,Bartosz BOSACKI,DF,2,0,0,180,2
16,Carlos TENORIO,FW,2,0,0,182,3
17,ADRIANO,FW,2,0,0,266,4
18,Tomas ROSICKY,MF,2,0,0,266,3
19,Paulo WANCHOPE,FW,2,0,0,270,3
20,Omar BRAVO,FW,2,0,0,270,3
21,Tim CAHILL,MF,2,0,0,273,4
22,Marco MATERAZZI,DF,2,0,0,363,4
23,Alexander FREI,FW,2,0,0,384,4
24,Steven GERRARD,MF,2,0,0,410,5
25,Luca TONI,FW,2,0,0,483,6
26,MANICHE,MF,2,0,0,565,7
27,Francesco TOTTI,MF,1,1,3,467,7
28,Andrea PIRLO,MF,1,0,3,668,7
29,John ALOISI,FW,1,0,2,72,4
30,Javier SAVIOLA,FW,1,0,2,218,3
31,Maksym KALINICHENKO,MF,1,0,2,330,4
32,David BECKHAM,MF,1,0,2,409,5
33,Lionel MESSI,FW,1,0,1,121,3
34,Marcus ALLBACK,FW,1,0,1,165,4
35,Ivan KAVIEDES,FW,1,0,1,178,4
36,ZINHA,MF,1,0,1,188,4
37,Zied JAZIRI,FW,1,0,1,225,3
38,Asamoah GYAN,FW,1,0,1,255,3
39,Ronald GOMEZ,FW,1,0,1,262,3
40,Arjen ROBBEN,FW,1,0,1,270,3
41,Carlos TEVEZ,FW,1,0,1,286,4
42,Alberto GILARDINO,FW,1,0,1,306,5
43,Robin VAN PERSIE,FW,1,0,1,337,4
44,Stephen APPIAH,MF,1,1,1,360,4
45,Joe COLE,MF,1,0,1,390,5
46,Tranquillo BARNETTA,MF,1,0,1,390,4
47,SIMAO,FW,1,1,1,407,7
48,KAKA,MF,1,0,1,413,5
49,PAULETA,FW,1,0,1,434,6
50,Franck RIBERY,MF,1,0,1,516,7
51,Gianluca ZAMBROTTA,DF,1,0,1,600,6
53,FRED,FW,1,0,0,2,1
54,Filippo INZAGHI,FW,1,0,0,30,1
55,ABOU TARIKA,FW,1,0,0,39,1
56,NUNO GOMES,FW,1,0,0,42,2
57,Jan KOLLER,FW,1,0,0,45,1
58,Nelson CUEVAS,FW,1,0,0,46,2
59,Bonaventure KALOU,FW,1,1,0,72,2
60,AHN Jung Hwan,FW,1,0,0,89,3
61,Sami AL JABER,FW,1,0,0,89,3
62,GILBERTO MELO,DF,1,0,0,90,1
63,JUANITO,DF,1,0,0,90,1
64,Sohrab BAKHTIARIZADEH,DF,1,0,0,92,2
65,Nikola ZIGIC,FW,1,0,0,111,2
66,Keiji TAMADA,FW,1,0,0,119,2
67,Bakary KONE,FW,1,0,0,120,3
68,Oliver NEUVILLE,FW,1,0,0,138,7
69,Clint DEMPSEY,MF,1,0,0,152,2
70,Alessandro DEL PIERO,FW,1,0,0,169,5
71,Haminu DRAMAN,MF,1,0,0,170,2
72,Yasser AL KAHTANI,FW,1,0,0,172,2
73,Yahya GOLMOHAMMADI,DF,1,0,0,178,2
74,Serhiy REBROV,MF,1,0,0,178,4
75,RAUL,FW,1,0,0,179,4
76,Didier DROGBA,FW,1,0,0,180,2
77,JUNINHO PERNAMBUCANO,MF,1,0,0,182,3
78,Vincenzo IAQUINTA,FW,1,0,0,187,5
79,Ruud VAN NISTELROOIJ,FW,1,0,0,198,3
80,Harry KEWELL,FW,1,0,0,214,3
81,Niko KOVAC,MF,1,0,0,221,3
82,Philippe SENDEROS,DF,1,0,0,233,3
83,Xabi ALONSO,MF,1,0,0,235,3
84,LEE Chun Soo,FW,1,0,0,252,3
85,Jose FONSECA,FW,1,0,0,264,4
86,Darijo SRNA,MF,1,0,0,267,3
87,Jaouhar MNARI,MF,1,0,0,270,3
88,Sulley MUNTARI,MF,1,0,0,270,3
89,Shunsuke NAKAMURA,MF,1,0,0,270,3
90,PARK Ji Sung,MF,1,0,0,270,3
91,Radhi JAIDI,DF,1,0,0,270,3
92,MOHAMED KADER,FW,1,0,0,270,3
93,Craig MOORE,DF,1,1,0,310,4
94,Andriy RUSOL,DF,1,0,0,314,4
95,Peter CROUCH,FW,1,0,0,321,4
96,DECO,MF,1,0,0,338,4
97,Henrik LARSSON,FW,1,0,0,360,4
98,Fredrik LJUNGBERG,MF,1,0,0,360,4
99,Esteban CAMBIASSO,MF,1,0,0,377,5
100,ZE ROBERTO,MF,1,0,0,379,5
101,Rafael MARQUEZ,DF,1,0,0,390,4
102,Roberto AYALA,DF,1,0,0,510,5
103,CRISTIANO RONALDO,FW,1,1,0,514,6
104,Torsten FRINGS,MF,1,0,0,541,6
105,Fabio GROSSO,DF,1,0,0,600,6
106,Philipp LAHM,DF,1,0,0,690,7
1,RONALDO,FW,8,0,0,553,7
2,Miroslav KLOSE,FW,5,0,1,567,7
3,RIVALDO,MF,5,1,1,612,7
4,Jon Dahl TOMASSON,FW,4,1,0,360,4
5,Christian VIERI,FW,4,0,0,390,4
6,Michael BALLACK,MF,3,0,4,540,6
7,Ilhan MANSIZ,FW,3,0,1,230,7
8,PAULETA,FW,3,0,0,249,3
9,Fernando MORIENTES,FW,3,0,0,338,5
10,RAUL,FW,3,0,0,342,4
11,Marc WILMOTS,FW,3,0,0,360,4
12,Henrik LARSSON,FW,3,1,0,388,4
13,Robbie KEANE,FW,3,1,0,390,4
14,Bouba DIOP,MF,3,0,0,510,5
15,RONALDINHO,MF,2,1,3,336,5
16,Henri CAMARA,FW,2,0,2,351,4
17,Hasan SAS,FW,2,0,2,565,6
18,Ronald GOMEZ,FW,2,0,1,270,3
19,Umit DAVALA,MF,2,0,1,548,7
20,Nelson CUEVAS,FW,2,0,0,29,2
21,Junichi INAMOTO,MF,2,0,0,267,4
22,Jared BORGETTI,FW,2,0,0,315,4
23,Michael OWEN,FW,2,0,0,372,5
24,Brian McBRIDE,FW,2,0,0,375,5
25,Fernando HIERRO,DF,2,2,0,420,4
26,Landon DONOVAN,MF,2,0,0,435,5
27,AHN Jung Hwan,MF,2,0,0,529,7
28,David BECKHAM,MF,1,1,3,423,5
29,Bernd SCHNEIDER,MF,1,0,3,594,7
30,JUNIOR,DF,1,0,2,90,1
31,Dmitri SYCHEV,FW,1,0,2,137,3
32,LEE Eul Yong,MF,1,0,2,333,4
33,Siyabonga NOMVETHE,FW,1,0,1,145,2
34,Milenko ACIMOVIC,MF,1,0,1,149,3
35,Clint MATHIS,FW,1,0,1,204,3
36,Quinton FORTUNE,MF,1,1,1,257,3
37,Samuel ETOO,FW,1,0,1,270,3
38,Johan WALEM,MF,1,0,1,270,3
39,Mauricio WRIGHT,DF,1,0,1,270,3
40,Agustin DELGADO,FW,1,0,1,270,3
41,Anders SVENSSON,MF,1,0,1,305,4
42,Cuauhtemoc BLANCO,FW,1,1,1,348,4
43,Francisco ARCE,DF,1,0,1,360,4
44,Khalilou FADIGA,MF,1,1,1,390,4
45,Matt HOLLAND,MF,1,0,1,390,4
46,John O BRIEN,MF,1,0,1,450,5
47,EDMILSON,DF,1,0,1,540,6
48,Hakan SUKUR,FW,1,0,1,592,7
49,Winston PARKS,FW,1,0,0,29,2
50,Diego FORLAN,FW,1,0,0,45,1
51,Richard MORALES,FW,1,0,0,47,2
52,Hiroaki MORISHIMA,MF,1,0,0,70,3
53,Hernan CRESPO,FW,1,0,0,71,3
54,Oliver BIERHOFF,FW,1,0,0,76,5
55,Marcin ZEWLAKOW,FW,1,0,0,85,3
56,Alessandro DEL PIERO,FW,1,0,0,89,3
57,Wesley SONCK,FW,1,0,0,106,4
58,RUI COSTA,MF,1,0,0,110,2
59,Ivica OLIC,FW,1,0,0,123,2
60,Sebastijan CIMIROTIC,FW,1,0,0,164,3
61,Vladimir BESCHASTNYKH,FW,1,0,0,178,3
62,Peter VAN DER HEYDEN,DF,1,0,0,180,2
63,BETO,DF,1,0,0,183,3
64,Carsten JANCKER,FW,1,0,0,186,3
65,Gaizka MENDIETA,MF,1,0,0,194,3
66,Jorge CAMPOS,FW,1,0,0,197,4
67,Gabriel BATISTUTA,FW,1,0,0,199,3
68,Milan RAPAIC,MF,1,0,0,215,3
69,Pawel KRYSZALOWICZ,FW,1,0,0,224,3
70,Patrick MBOMA,FW,1,0,0,233,3
71,HWANG Sun Hong,FW,1,0,0,247,5
72,Benni McCARTHY,FW,1,0,0,248,3
73,Dario RODRIGUEZ,DF,1,0,0,249,3
74,Raouf BOUZAIENE,DF,1,0,0,258,3
75,Lucas RADEBE,DF,1,0,0,260,3
76,Paulo WANCHOPE,FW,1,0,0,260,3
77,Alvaro RECOBA,FW,1,1,0,260,3
78,Valeri KARPIN,MF,1,1,0,262,3
79,Emmanuel OLISADEBE,FW,1,0,0,266,3
80,Teboho MOKOENA,MF,1,0,0,270,3
81,Julius AGHAHOWA,FW,1,0,0,270,3
82,Egor TITOV,MF,1,0,0,270,3
83,Edison MENDEZ,MF,1,0,0,270,3
84,Salif DIAO,MF,1,0,0,290,3
85,Takayuki SUZUKI,FW,1,0,0,296,4
86,Roque SANTA CRUZ,FW,1,0,0,299,4
87,Marco BODE,FW,1,0,0,331,6
88,Niclas ALEXANDERSSON,MF,1,0,0,346,4
89,Gerardo TORRADO,MF,1,0,0,348,4
90,Hidetoshi NAKATA,MF,1,0,0,354,4
91,Dennis ROMMEDAHL,FW,1,0,0,359,4
92,Emile HESKEY,FW,1,0,0,372,5
93,Juan Carlos VALERON,MF,1,0,0,375,4
94,Oliver NEUVILLE,FW,1,0,0,377,6
95,Damien DUFF,FW,1,0,0,390,4
96,Gary BREEN,DF,1,0,0,390,4
97,Sol CAMPBELL,DF,1,0,0,450,5
98,Rio FERDINAND,DF,1,0,0,450,5
99,Emre BELOZOGLU,MF,1,0,0,464,6
100,ROBERTO CARLOS,DF,1,0,0,540,6
101,Bulent KORKMAZ,DF,1,0,0,546,6
102,YOO Sang Chul,MF,1,0,0,580,7
103,SEOL Ki Hyeon,FW,1,0,0,598,7
104,Thomas LINKE,DF,1,0,0,630,7
105,PARK Ji Sung,MF,1,0,0,638,7
106,SONG Chong Gug,MF,1,0,0,690,7
1,Davor SUKER,FW,6,1,0,630,7
2,Gabriel BATISTUTA,FW,5,2,0,428,5
3,Christian VIERI,FW,5,0,0,431,5
4,Luis HERNANDEZ,FW,4,0,0,360,4
5,Marcelo SALAS,FW,4,0,0,360,4
6,RONALDO,FW,4,1,0,660,7
7,Thierry HENRY,FW,3,0,0,367,6
8,Juergen KLINSMANN,FW,3,0,0,450,5
9,Oliver BIERHOFF,FW,3,0,0,450,5
10,BEBETO,FW,3,0,0,523,7
11,CESAR SAMPAIO,MF,3,0,0,531,6
12,Dennis BERGKAMP,FW,3,0,0,538,7
13,RIVALDO,MF,3,0,0,654,7
14,Ricardo PELAEZ,FW,2,0,0,84,3
15,Fernando MORIENTES,FW,2,0,0,128,2
16,Shaun BARTLETT,FW,2,1,0,168,3
17,Roberto BAGGIO,FW,2,1,0,226,4
18,Michael OWEN,FW,2,0,0,233,4
19,Theodore WHITMORE,MF,2,0,0,253,3
20,Abdeljalil HADDA,FW,2,0,0,264,3
21,Salaheddine BASSIR,FW,2,0,0,270,3
22,Slobodan KOMLJENOVIC,DF,2,0,0,270,3
23,Fernando HIERRO,DF,2,1,0,270,3
24,Marc WILMOTS,MF,2,0,0,270,3
25,Viorel MOLDOVAN,FW,2,0,0,288,4
26,Robert PROSINECKI,MF,2,0,0,304,5
27,Patrick KLUIVERT,FW,2,0,0,382,4
28,Alan SHEARER,FW,2,1,0,390,4
29,Brian LAUDRUP,FW,2,0,0,416,5
30,Ariel ORTEGA,FW,2,0,0,439,5
31,Zinedine ZIDANE,MF,2,0,0,461,5
32,Emmanuel PETIT,MF,2,0,0,506,6
33,Ronald DE BOER,MF,2,0,0,528,6
34,Lilian THURAM,DF,2,0,0,600,6
35,Phillip COCU,MF,2,0,0,616,7
36,Wilson ORUMA,MF,1,0,0,68,1
37,Leider PRECIADO,FW,1,0,0,85,3
38,Youssef AL TUNAYAN,FW,1,1,0,87,2
39,Pierre VAN HOOIJDONK,FW,1,0,0,90,3
40,Robert EARLE,MF,1,0,0,108,3
41,Ivica VASTIC,FW,1,0,0,115,3
42,Christophe DUGARRY,FW,1,0,0,118,3
43,Tijani BABANGIDA,FW,1,0,0,120,4
44,HA Seok Ju,MF,1,0,0,120,2
45,Mauricio PINEDA,DF,1,0,0,122,3
46,Peter MOLLER,FW,1,0,0,124,2
47,Andreas HERZOG,MF,1,1,0,137,3
48,KIKO,FW,1,0,0,140,3
49,Jose SIERRA,MF,1,0,0,158,4
50,Andreas MOELLER,MF,1,0,0,179,3
51,Brian McBRIDE,FW,1,0,0,180,2
52,David BECKHAM,MF,1,0,0,195,3
53,RAUL,FW,1,0,0,195,3
54,Boudewijn ZENDEN,MF,1,0,0,196,4
55,Emil KOSTADINOV,FW,1,0,0,202,3
56,Masashi NAKAYAMA,FW,1,0,0,216,3
57,Skander SOUAYEH,MF,1,1,0,224,3
58,Benni McCARTHY,FW,1,0,0,224,3
59,Craig BURLEY,MF,1,0,0,233,3
60,Ebbe SAND,FW,1,0,0,240,5
61,Toni POLSTER,FW,1,0,0,242,3
62,Patrick MBOMA,FW,1,0,0,246,3
63,Victor IKPEBA,FW,1,0,0,248,3
64,LUIS ENRIQUE,MF,1,0,0,249,3
65,Luc NILIS,FW,1,0,0,257,3
66,Sami AL JABER,FW,1,1,0,264,3
67,Mutiu ADEPOJU,MF,1,0,0,270,3
68,Hamid ESTILI,MF,1,0,0,270,3
69,Mustafa EL HADJI,MF,1,0,0,270,3
70,Mehdi MAHDAVIKIA,MF,1,0,0,270,3
71,John COLLINS,MF,1,1,0,270,3
72,Pierre NJANKA,DF,1,0,0,270,3
73,YOO Sang Chul,DF,1,0,0,270,3
74,Havard FLO,FW,1,0,0,273,4
75,Jose CARDOZO,FW,1,0,0,280,3
76,Dragan STOJKOVIC,MF,1,0,0,298,4
77,Predrag MIJATOVIC,FW,1,0,0,300,4
78,Alberto GARCIA ASPE,MF,1,1,0,313,4
79,Sunday OLISEH,MF,1,0,0,315,4
80,Adrian ILIE,FW,1,0,0,315,4
81,Paul SCHOLES,MF,1,0,0,331,4
82,Claudio LOPEZ,FW,1,0,0,332,5
83,Allan NIELSEN,MF,1,0,0,340,5
84,Dan PETRESCU,DF,1,0,0,345,4
85,David TREZEGUET,FW,1,0,0,348,6
86,Sinisa MIHAJLOVIC,DF,1,0,0,348,4
87,Darren ANDERTON,MF,1,0,0,356,4
88,Tore Andre FLO,FW,1,0,0,360,4
89,Cuauhtemoc BLANCO,FW,1,0,0,360,4
90,Kjetil REKDAL,MF,1,1,0,360,4
91,Dan EGGEN,DF,1,0,0,360,4
92,Goran VLAOVIC,FW,1,0,0,365,7
93,Miguel BENITEZ,FW,1,0,0,367,4
94,Celso AYALA,DF,1,0,0,390,4
95,Martin JORGENSEN,MF,1,0,0,397,5
96,Michael LAUDRUP,MF,1,1,0,410,5
97,Luigi DI BIAGIO,MF,1,0,0,423,5
98,Marc OVERMARS,FW,1,0,0,430,6
99,Thomas HELVEG,DF,1,0,0,447,5
100,Marc RIEPER,DF,1,0,0,450,5
101,Javier ZANETTI,DF,1,0,0,457,5
102,Laurent BLANC,DF,1,0,0,496,5
103,Edgar DAVIDS,MF,1,0,0,570,6
104,Youri DJORKAEFF,MF,1,1,0,597,7
105,Bixente LIZARAZU,DF,1,0,0,600,6
106,Mario STANIC,MF,1,0,0,619,7
107,Robert JARNI,MF,1,0,0,630,7
1,Oleg SALENKO,FW,6,2,0,215,3
2,Hristo STOICHKOV,FW,6,3,0,642,7
3,Juergen KLINSMANN,FW,5,0,0,445,5
4,Kennet ANDERSSON,FW,5,0,0,578,7
5,Roberto BAGGIO,FW,5,1,0,621,7
6,ROMÁRIO (Romário de Souza Faria),FW,5,0,0,660,7
7,Gabriel BATISTUTA,FW,4,2,0,360,4
8,Florin RADUCIOIU,FW,4,0,0,383,4
9,Martin DAHLIN,FW,4,0,0,444,5
10,Jose Luis CAMINERO,MF,3,0,0,315,4
11,Dennis BERGKAMP,FW,3,0,0,450,5
12,Gheorghe HAGI,MF,3,0,0,475,5
13,BEBETO,FW,3,0,0,660,7
14,Tomas BROLIN,FW,3,1,0,660,7
15,Adolfo VALENCIA,FW,2,0,0,153,2
16,Claudio CANIGGIA,FW,2,0,0,206,3
17,Rudi VOELLER,FW,2,0,0,208,3
18,Adrian KNUP,FW,2,0,0,261,3
19,HONG Myungbo,DF,2,0,0,270,3
20,Fuad AMIN,MF,2,0,0,270,3
21,Philippe ALBERT,DF,2,0,0,270,3
22,Daniel AMOKACHI,FW,2,0,0,305,4
23,Luis GARCIA,FW,2,0,0,320,4
24,Emmanuel AMUNIKE,MF,2,0,0,327,4
25,GOIKOETXEA,MF,2,0,0,395,5
26,Ilie DUMITRESCU,FW,2,0,0,436,5
27,Wim JONK,MF,2,0,0,450,5
