rank,team,goals for,goals against,penalties,matches
8,Germany FR,8,7,0,7
9,England,7,3,0,5
10,Mexico,6,2,0,5
11,Italy,5,6,1,4
12,Korea Republic,4,7,0,3
13,Paraguay,4,6,0,4
14,Morocco,3,2,0,4
15,Hungary,2,9,0,3
16,Northern Ireland,2,6,0,3
17,Portugal,2,4,0,3
18,Bulgaria,2,6,0,4
19,Uruguay,2,8,1,4
20,Algeria,1,5,0,3
21,Iraq,1,4,0,3
22,Scotland,1,3,0,3
23,Poland,1,7,0,4
1,France,16,12,1,7
2,Brazil,15,6,0,5
3,Hungary,12,6,0,3
4,Italy,12,6,0,7
5,Germany FR,12,10,0,7
6,Poland,11,5,0,7
7,Scotland,8,8,0,3
8,Argentina,8,7,1,5
9,Soviet Union,7,4,0,5
10,England,6,1,0,5
11,Algeria,5,5,0,3
12,Austria,5,4,0,5
13,Northern Ireland,5,7,0,5
14,Spain,4,5,2,5
15,Chile,3,8,1,3
16,Belgium,3,5,0,5
17,Peru,2,6,0,3
18,Kuwait,2,6,0,3
19,Honduras,2,3,0,3
20,Yugoslavia,2,2,1,3
21,New Zealand,2,12,0,3
22,Czechoslovakia,2,4,2,3
23,Cameroon,1,1,0,3
24,El Salvador,1,13,0,3
1,Argentina,15,4,1,7
2,Netherlands,15,10,4,7
3,Germany FR,10,5,0,6
4,Brazil,10,3,1,7
5,Italy,9,6,0,7
6,Peru,7,12,2,6
7,Austria,7,10,1,6
8,Poland,6,6,0,6
9,Scotland,5,6,1,3
10,France,5,5,0,3
11,Hungary,3,8,1,3
12,Tunisia,3,2,0,3
13,Mexico,2,12,1,3
14,Iran,2,8,0,3
15,Spain,2,2,0,3
16,Sweden,1,3,0,3
1,Poland,16,5,1,7
2,Netherlands,15,3,3,7
3,Germany FR,13,4,2,7
4,Yugoslavia,12,7,0,6
5,Argentina,9,12,0,6
6,Sweden,7,6,0,6
7,Brazil,6,4,0,7
8,Italy,5,4,0,3
9,German DR,5,5,0,6
10,Scotland,3,1,0,3
11,Bulgaria,2,5,0,3
12,Haiti,2,14,0,3
13,Chile,1,2,0,3
14,Uruguay,1,6,0,3
1,Brazil,19,7,0,6
2,Germany FR,17,10,1,6
3,Italy,10,8,0,6
4,Peru,9,9,0,4
5,Mexico,6,4,1,4
6,Soviet Union,6,2,0,4
7,Bulgaria,5,9,0,3
8,Belgium,4,5,1,3
9,Romania,4,5,1,3
10,England,4,4,1,4
11,Uruguay,4,5,0,6
12,Morocco,2,6,0,3
13,Sweden,2,2,0,3
14,Czechoslovakia,2,7,0,3
15,Israel,1,3,0,3
1,Portugal,17,8,4,6
2,Germany FR,15,6,1,6
3,England,11,3,0,6
4,Soviet Union,10,6,0,6
5,Hungary,8,7,1,4
6,Korea DPR,5,9,0,4
7,Brazil,4,6,0,3
8,Spain,4,5,0,3
9,Argentina,4,2,0,4
10,Italy,2,2,0,3
11,Chile,2,5,1,3
12,France,2,5,1,3
13,Uruguay,2,5,0,4
14,Bulgaria,1,8,0,3
15,Mexico,1,3,0,3
16,Switzerland,1,9,0,3
1,Brazil,14,5,0,6
2,Chile,10,8,1,6
3,Yugoslavia,10,7,1,6
4,Soviet Union,9,7,0,4
5,Hungary,8,3,0,4
6,Czechoslovakia,7,7,1,6
7,Colombia,5,11,1,3
8,England,5,6,2,4
9,Uruguay,4,6,0,3
10,Germany FR,4,2,1,4
11,Mexico,3,4,1,3
12,Italy,3,2,0,3
13,Spain,2,3,0,3
14,Switzerland,2,8,0,3
15,Argentina,2,3,0,3
16,Bulgaria,1,7,0,3
1,France,23,15,1,6
2,Brazil,16,4,0,6
3,Sweden,12,7,1,6
4,Germany FR,12,14,0,6
5,Paraguay,9,12,1,3
6,Czechoslovakia,9,6,1,4
7,Yugoslavia,7,7,0,4
8,Hungary,7,5,0,4
9,Northern Ireland,6,10,0,5
10,Argentina,5,10,2,3
11,Soviet Union,5,6,0,5
12,Scotland,4,6,0,3
13,England,4,5,1,4
14,Wales,4,4,0,5
15,Austria,2,7,0,3
16,Mexico,1,8,0,3
1,Hungary,27,10,1,5
2,Germany FR,25,14,2,6
3,Austria,17,12,1,5
4,Uruguay,16,9,0,5
5,Switzerland,11,11,0,4
6,Turkey,10,11,0,3
7,Brazil,8,5,1,3
8,England,8,8,0,3
9,Italy,6,7,1,3
10,Belgium,5,8,0,2
11,France,3,3,1,2
12,Mexico,2,8,0,2
