rank,team,yellow cards,second yellow,red cards,matches
1,Uruguay,11,0,2,4
2,Mexico,10,0,1,5
3,England,8,0,1,5
4,Germany FR,8,0,1,7
5,Denmark,4,0,1,4
6,Canada,2,0,1,3
7,Iraq,9,1,0,3
8,Argentina,12,0,0,7
9,Italy,8,0,0,4
10,Spain,8,0,0,5
11,Belgium,8,0,0,7
12,Korea Republic,7,0,0,3
13,France,6,0,0,7
14,Northern Ireland,5,0,0,3
15,Scotland,5,0,0,3
16,Poland,5,0,0,4
17,Paraguay,5,0,0,4
18,Morocco,5,0,0,4
19,Bulgaria,3,0,0,4
20,Brazil,3,0,0,5
21,Algeria,2,0,0,3
22,Portugal,2,0,0,3
23,Soviet Union,2,0,0,4
24,Hungary,0,0,0,3
1,Argentina,7,0,2,5
2,Northern Ireland,4,0,1,5
3,Czechoslovakia,2,0,1,3
4,Honduras,1,0,1,3
5,Italy,11,0,0,7
6,Poland,10,0,0,7
7,Germany FR,8,0,0,7
8,Spain,6,0,0,5
9,Austria,6,0,0,5
10,France,6,0,0,7
11,El Salvador,5,0,0,3
12,Cameroon,4,0,0,3
13,Chile,4,0,0,3
14,Soviet Union,4,0,0,5
15,Yugoslavia,3,0,0,3
16,Kuwait,3,0,0,3
17,Belgium,3,0,0,5
18,England,3,0,0,5
19,Hungary,2,0,0,3
20,Algeria,2,0,0,3
21,Peru,2,0,0,3
22,Brazil,2,0,0,5
23,Scotland,1,0,0,3
24,New Zealand,0,0,0,3
1,Hungary,4,0,2,3
2,Netherlands,8,0,1,7
3,Brazil,9,0,0,7
4,Peru,7,0,0,6
5,Italy,6,0,0,7
6,Argentina,5,0,0,7
7,Germany FR,4,0,0,6
8,France,3,0,0,3
9,Iran,3,0,0,3
10,Poland,3,0,0,6
11,Austria,2,0,0,6
12,Tunisia,1,0,0,3
13,Mexico,1,0,0,3
14,Scotland,1,0,0,3
15,Spain,1,0,0,3
16,Sweden,1,0,0,3
1,Brazil,11,0,1,7
2,Chile,5,0,1,3
3,Uruguay,5,0,1,3
4,Zaire,2,0,1,3
5,Australia,2,0,1,3
6,Netherlands,11,0,0,7
7,Yugoslavia,10,0,0,6
8,German DR,10,0,0,6
9,Argentina,8,0,0,6
10,Sweden,5,0,0,6
11,Poland,5,0,0,7
12,Scotland,3,0,0,3
13,Haiti,3,0,0,3
14,Germany FR,3,0,0,7
15,Bulgaria,2,0,0,3
16,Italy,2,0,0,3
1,Uruguay,7,0,0,6
